date,num_orders,total_sales,total_profit,distinct_num_orders
2024-02-01,127,"5,267.51","2,259.68",127
2024-02-02,1086,"45,122.23","19,497.42",1086
2024-02-03,1353,"56,833.28","24,501.95",1353
2024-02-04,1348,"55,779.79","23,927.75",1348
2024-02-05,581,"24,608.19","10,554.04",581
2024-02-06,1453,"60,739.95","26,005.91",1453
2024-02-07,1086,"46,665.77","20,099.05",1086
2024-02-08,666,"26,380.35","11,383.26",666
2024-02-09,1129,"43,751.04","18,948.82",1129
2024-02-10,929,"32,394.88","14,187.70",929
